year,level_1,level_2,value
1966,Male Age Specific Death Rate,45 - 49 Years,7.5
1966,Male Age Specific Death Rate,50 - 54 Years,12.7
1966,Male Age Specific Death Rate,55 - 59 Years,22.8
1966,Male Age Specific Death Rate,60 - 64 Years,36.5
1966,Male Age Specific Death Rate,65 - 69 Years,55.7
1966,Male Age Specific Death Rate,70 - 74 Years,na
1966,Male Age Specific Death Rate,75 Years & Over,na
1966,Male Age Specific Death Rate,70 Years & Over,131.9
1966,Male Age Specific Death Rate,75 - 79 Years,na
1966,Male Age Specific Death Rate,80 - 84 Years,na
1966,Male Age Specific Death Rate,85 Years & Over,na
1966,Female Age Specific Death Rate,Under 1 Year,23.1
1966,Female Age Specific Death Rate,1  -  4 Years,2.1
1966,Female Age Specific Death Rate,5  -  9 Years,0.5
1966,Female Age Specific Death Rate,10 - 14 Years,0.5
1966,Female Age Specific Death Rate,15 - 19 Years,0.5
1966,Female Age Specific Death Rate,20 - 24 Years,0.9
1966,Female Age Specific Death Rate,25 - 29 Years,1.1
1966,Female Age Specific Death Rate,30 - 34 Years,1.5
1966,Female Age Specific Death Rate,35 - 39 Years,2
1966,Female Age Specific Death Rate,40 - 44 Years,2.6
1966,Female Age Specific Death Rate,45 - 49 Years,3.9
1966,Female Age Specific Death Rate,50 - 54 Years,7
1966,Female Age Specific Death Rate,55 - 59 Years,11.3
1966,Female Age Specific Death Rate,60 - 64 Years,18
1966,Female Age Specific Death Rate,65 - 69 Years,31.8
1966,Female Age Specific Death Rate,70 - 74 Years,na
1966,Female Age Specific Death Rate,75 Years & Over,na
1966,Female Age Specific Death Rate,70 Years & Over,82.6
1966,Female Age Specific Death Rate,75 - 79 Years,na
1966,Female Age Specific Death Rate,80 - 84 Years,na
1966,Female Age Specific Death Rate,85 Years & Over,na
1966,Total Age Specific Death Rate,Under 1 Year,25.8
1966,Total Age Specific Death Rate,1  -  4 Years,2.1
1966,Total Age Specific Death Rate,5  -  9 Years,0.6
1966,Total Age Specific Death Rate,10 - 14 Years,0.5
1966,Total Age Specific Death Rate,15 - 19 Years,0.7
1966,Total Age Specific Death Rate,20 - 24 Years,1.4
1966,Total Age Specific Death Rate,25 - 29 Years,1.2
1966,Total Age Specific Death Rate,30 - 34 Years,1.7
1966,Total Age Specific Death Rate,35 - 39 Years,2.4
1966,Total Age Specific Death Rate,40 - 44 Years,3
1966,Total Age Specific Death Rate,45 - 49 Years,5.9
1966,Total Age Specific Death Rate,50 - 54 Years,10.1
1966,Total Age Specific Death Rate,55 - 59 Years,17.5
1966,Total Age Specific Death Rate,60 - 64 Years,27.8
1966,Total Age Specific Death Rate,65 - 69 Years,43.3
1966,Total Age Specific Death Rate,70 - 74 Years,na
1966,Total Age Specific Death Rate,75 Years & Over,na
1966,Total Age Specific Death Rate,70 Years & Over,99.6
1966,Total Age Specific Death Rate,75 - 79 Years,na
1966,Total Age Specific Death Rate,80 - 84 Years,na
1966,Total Age Specific Death Rate,85 Years & Over,na
1967,Male Age Specific Death Rate,Under 1 Year,27.2
1967,Male Age Specific Death Rate,1  -  4 Years,1.6
1967,Male Age Specific Death Rate,5  -  9 Years,0.6
1967,Male Age Specific Death Rate,10 - 14 Years,0.6
1967,Male Age Specific Death Rate,15 - 19 Years,0.7
1967,Male Age Specific Death Rate,20 - 24 Years,1.1
1967,Male Age Specific Death Rate,25 - 29 Years,1.3
1967,Male Age Specific Death Rate,30 - 34 Years,1.8
1967,Male Age Specific Death Rate,35 - 39 Years,2.8
1967,Male Age Specific Death Rate,40 - 44 Years,4.7
1967,Male Age Specific Death Rate,45 - 49 Years,7.1
1967,Male Age Specific Death Rate,50 - 54 Years,12.4
1967,Male Age Specific Death Rate,55 - 59 Years,21
1967,Male Age Specific Death Rate,60 - 64 Years,38.2
1967,Male Age Specific Death Rate,65 - 69 Years,57.3
1967,Male Age Specific Death Rate,70 - 74 Years,na
1967,Male Age Specific Death Rate,75 Years & Over,na
1967,Male Age Specific Death Rate,70 Years & Over,144.8
1967,Male Age Specific Death Rate,75 - 79 Years,na
1967,Male Age Specific Death Rate,80 - 84 Years,na
1967,Male Age Specific Death Rate,85 Years & Over,na
1967,Female Age Specific Death Rate,Under 1 Year,22.1
1967,Female Age Specific Death Rate,1  -  4 Years,1.5
1967,Female Age Specific Death Rate,5  -  9 Years,0.5
1967,Female Age Specific Death Rate,10 - 14 Years,0.4
1967,Female Age Specific Death Rate,15 - 19 Years,0.5
1967,Female Age Specific Death Rate,20 - 24 Years,0.9
1967,Female Age Specific Death Rate,25 - 29 Years,0.9
1967,Female Age Specific Death Rate,30 - 34 Years,1.2
1967,Female Age Specific Death Rate,35 - 39 Years,1.4
1967,Female Age Specific Death Rate,40 - 44 Years,2.8
1967,Female Age Specific Death Rate,45 - 49 Years,4.7
1967,Female Age Specific Death Rate,50 - 54 Years,7
1967,Female Age Specific Death Rate,55 - 59 Years,11.6
1967,Female Age Specific Death Rate,60 - 64 Years,17.3
1967,Female Age Specific Death Rate,65 - 69 Years,28
1967,Female Age Specific Death Rate,70 - 74 Years,na
1967,Female Age Specific Death Rate,75 Years & Over,na
1967,Female Age Specific Death Rate,70 Years & Over,82.7
1967,Female Age Specific Death Rate,75 - 79 Years,na
1967,Female Age Specific Death Rate,80 - 84 Years,na
1967,Female Age Specific Death Rate,85 Years & Over,na
1967,Total Age Specific Death Rate,Under 1 Year,24.8
1967,Total Age Specific Death Rate,1  -  4 Years,1.5
1967,Total Age Specific Death Rate,5  -  9 Years,0.6
1967,Total Age Specific Death Rate,10 - 14 Years,0.5
1967,Total Age Specific Death Rate,15 - 19 Years,0.6
1967,Total Age Specific Death Rate,20 - 24 Years,1
1967,Total Age Specific Death Rate,25 - 29 Years,1.1
1967,Total Age Specific Death Rate,30 - 34 Years,1.5
1967,Total Age Specific Death Rate,35 - 39 Years,2.1
1967,Total Age Specific Death Rate,40 - 44 Years,3.9
